date,civic_centre,marriage_licenses
2011-01-01,ET,80
2011-01-01,NY,136
2011-01-01,SC,159
2011-01-01,TO,367
2011-02-01,ET,109
2011-02-01,NY,150
2011-02-01,SC,154
2011-02-01,TO,383
2011-03-01,ET,177
2011-03-01,NY,231
2011-03-01,SC,213
2011-03-01,TO,589
2011-04-01,ET,178
2011-04-01,NY,277
2011-04-01,SC,261
2011-04-01,TO,660
2011-05-01,ET,263
2011-05-01,NY,376
2011-05-01,SC,375
2011-05-01,TO,871
2011-06-01,ET,255
2011-06-01,NY,365
2011-06-01,SC,334
2011-06-01,TO,870
2011-07-01,ET,238
2011-07-01,NY,364
2011-07-01,SC,352
2011-07-01,TO,989
2011-08-01,ET,257
2011-08-01,NY,366
2011-08-01,SC,345
2011-08-01,TO,965
2011-09-01,ET,152
2011-09-01,NY,255
2011-09-01,SC,276
2011-09-01,TO,638
2011-10-01,ET,126
2011-10-01,NY,201
2011-10-01,SC,218
2011-10-01,TO,468
2011-11-01,ET,103
2011-11-01,NY,191
2011-11-01,SC,182
2011-11-01,TO,340
2011-12-01,ET,109
2011-12-01,NY,171
2011-12-01,SC,149
2011-12-01,TO,356
2012-01-01,ET,115
2012-01-01,NY,176
2012-01-01,SC,171
2012-01-01,TO,440
2012-02-01,ET,134
2012-02-01,NY,195
2012-02-01,SC,160
2012-02-01,TO,390
2012-03-01,ET,183
2012-03-01,NY,234
2012-03-01,SC,243
2012-03-01,TO,567
2012-04-01,ET,194
2012-04-01,NY,225
2012-04-01,SC,252
2012-04-01,TO,561
2012-05-01,ET,217
2012-05-01,NY,294
2012-05-01,SC,332
2012-05-01,TO,807
2012-06-01,ET,262
2012-06-01,NY,353
2012-06-01,SC,340
2012-06-01,TO,888
2012-07-01,ET,269
2012-07-01,NY,404
2012-07-01,SC,371
2012-07-01,TO,971
2012-08-01,ET,251
2012-08-01,NY,353
2012-08-01,SC,346
2012-08-01,TO,980
2012-09-01,ET,132
2012-09-01,NY,233
2012-09-01,SC,215
2012-09-01,TO,563
2012-10-01,ET,156
2012-10-01,NY,208
2012-10-01,SC,215
2012-10-01,TO,486
2012-11-01,ET,85
2012-11-01,NY,180
2012-11-01,SC,170
2012-11-01,TO,391
2012-12-01,ET,99
2012-12-01,NY,163
2012-12-01,SC,158
2012-12-01,TO,365
2013-01-01,ET,91
2013-01-01,NY,169
2013-01-01,SC,138
2013-01-01,TO,365
2013-02-01,ET,90
2013-02-01,NY,163
2013-02-01,SC,126
2013-02-01,TO,346
2013-03-01,ET,130
2013-03-01,NY,217
2013-03-01,SC,188
2013-03-01,TO,455
2013-04-01,ET,177
2013-04-01,NY,298
2013-04-01,SC,219
2013-04-01,TO,666
2013-05-01,ET,223
2013-05-01,NY,310
2013-05-01,SC,300
2013-05-01,TO,748
2013-06-01,ET,212
2013-06-01,NY,286
2013-06-01,SC,303
2013-06-01,TO,778
2013-07-01,ET,258
2013-07-01,NY,450
2013-07-01,SC,319
2013-07-01,TO,972
2013-08-01,ET,244
2013-08-01,NY,324
2013-08-01,SC,322
2013-08-01,TO,931
2013-09-01,ET,157
2013-09-01,NY,232
2013-09-01,SC,233
2013-09-01,TO,607
2013-10-01,ET,121
2013-10-01,NY,163
2013-10-01,SC,208
2013-10-01,TO,448
2013-11-01,ET,92
2013-11-01,NY,162
2013-11-01,SC,140
2013-11-01,TO,315
2013-12-01,ET,89
2013-12-01,NY,146
2013-12-01,SC,130
2013-12-01,TO,314
2014-01-01,ET,85
2014-01-01,NY,186
2014-01-01,SC,139
2014-01-01,TO,375
2014-02-01,ET,93
2014-02-01,NY,134
2014-02-01,SC,126
2014-02-01,TO,364
2014-03-01,ET,151
2014-03-01,NY,201
2014-03-01,SC,180
2014-03-01,TO,530
2014-04-01,ET,151
2014-04-01,NY,240
2014-04-01,SC,229
2014-04-01,TO,674
2014-05-01,ET,219
2014-05-01,NY,318
2014-05-01,SC,298
2014-05-01,TO,847
2014-06-01,ET,240
2014-06-01,NY,309
2014-06-01,SC,315
2014-06-01,TO,942
2014-07-01,ET,252
2014-07-01,NY,348
2014-07-01,SC,338
2014-07-01,TO,1024
2014-08-01,ET,239
2014-08-01,NY,351
2014-08-01,SC,288
2014-08-01,TO,967
2014-09-01,ET,169
2014-09-01,NY,228
2014-09-01,SC,225
2014-09-01,TO,658
2014-10-01,ET,126
2014-10-01,NY,180
2014-10-01,SC,206
2014-10-01,TO,489
2014-11-01,ET,77
2014-11-01,NY,138
2014-11-01,SC,111
2014-11-01,TO,347
2014-12-01,ET,109
2014-12-01,NY,162
2014-12-01,SC,157
2014-12-01,TO,357
2015-01-01,ET,123
2015-01-01,NY,140
2015-01-01,SC,149
2015-01-01,TO,327
2015-02-01,ET,108
2015-02-01,NY,159
2015-02-01,SC,130
2015-02-01,TO,333
2015-03-01,ET,155
2015-03-01,NY,224
2015-03-01,SC,222
2015-03-01,TO,559
2015-04-01,ET,149
2015-04-01,NY,273
2015-04-01,SC,257
2015-04-01,TO,665
2015-05-01,ET,245
2015-05-01,NY,307
2015-05-01,SC,306
2015-05-01,TO,805
2015-06-01,ET,268
2015-06-01,NY,386
2015-06-01,SC,346
2015-06-01,TO,927
2015-07-01,ET,317
2015-07-01,NY,387
2015-07-01,SC,390
2015-07-01,TO,1090
2015-08-01,ET,264
2015-08-01,NY,336
2015-08-01,SC,325
2015-08-01,TO,930
2015-09-01,ET,174
2015-09-01,NY,251
2015-09-01,SC,253
2015-09-01,TO,713
2015-10-01,ET,135
2015-10-01,NY,211
2015-10-01,SC,186
2015-10-01,TO,478
2015-11-01,ET,91
2015-11-01,NY,176
2015-11-01,SC,149
2015-11-01,TO,342
2015-12-01,ET,104
2015-12-01,NY,169
2015-12-01,SC,144
2015-12-01,TO,335
2016-01-01,ET,92
2016-01-01,NY,156
2016-01-01,SC,131
2016-01-01,TO,346
2016-02-01,ET,123
2016-02-01,NY,170
2016-02-01,SC,173
2016-02-01,TO,364
2016-03-01,ET,155
2016-03-01,NY,197
2016-03-01,SC,204
2016-03-01,TO,517
2016-04-01,ET,197
2016-04-01,NY,257
2016-04-01,SC,246
2016-04-01,TO,695
2016-05-01,ET,247
2016-05-01,NY,326
2016-05-01,SC,306
2016-05-01,TO,895
2016-06-01,ET,255
2016-06-01,NY,344
2016-06-01,SC,341
2016-06-01,TO,1071
2016-07-01,ET,274
2016-07-01,NY,384
2016-07-01,SC,348
2016-07-01,TO,1041
2016-08-01,ET,296
2016-08-01,NY,358
2016-08-01,SC,333
2016-08-01,TO,1072
2016-09-01,ET,228
2016-09-01,NY,265
2016-09-01,SC,207
